RISULTATI DELLE PARTITE DEL 2026-06-24;;;;;;;
ID Partita;Data e Ora;Fase;Squadra Casa;Punteggio Casa;Punteggio Ospite;Squadra Ospite;Stato
82cba383-0446-4817-8c63-422e96b8fc9e;24/06/2026, 18:55:00;Fase a Gironi;Gli Umili;4;1;Lo Dico FC;TERMINATA
076bb526-00e1-428a-9ccf-cd8c4a7e5e17;24/06/2026, 19:30:00;Fase a Gironi;FC Murta;2;3;Chainz;TERMINATA
ff7d2ffe-5765-408b-a135-7814615f2d36;24/06/2026, 20:05:00;Fase a Gironi;San Teodoro Ketzmaja;3;2;FC Ceres;TERMINATA
310a6c88-4769-4e00-a4b7-0e8030fbf3ea;24/06/2026, 20:40:00;Fase a Gironi;Aston Birra;2;5;Lo Dico FC;TERMINATA
73a10e0f-ef02-4c11-b211-2935b0358da4;24/06/2026, 21:15:00;Fase a Gironi;Gli Umili;3;5;UCG;TERMINATA
0cf09161-ecb4-41fc-ba83-99a0eb6f5e7d;24/06/2026, 21:50:00;Fase a Gironi;San Teodoro Ketzmaja;6;8;Chainz;TERMINATA
e85cf57a-c11e-4ac2-9cc7-5e664d989500;24/06/2026, 22:25:00;Fase a Gironi;FC Murta;1;1;Aston Birra;TERMINATA
98404968-e922-4af1-834f-b1ac50931758;24/06/2026, 23:00:00;Fase a Gironi;FC Ceres;2;9;UCG;TERMINATA


DETTAGLIO EVENTI DELLA GIORNATA (GOAL, CARTELLINI, CARTE KINGS LEAGUE);;;;;;;
ID Partita;Partita;Minuto;Tipo Evento;Squadra;Giocatore;Dettaglio
82cba383-0446-4817-8c63-422e96b8fc9e;Gli Umili - Lo Dico FC;4';GOAL;Lo Dico FC;Christian Ravenna;
82cba383-0446-4817-8c63-422e96b8fc9e;Gli Umili - Lo Dico FC;9';GOAL;Gli Umili;Simone Valle;
82cba383-0446-4817-8c63-422e96b8fc9e;Gli Umili - Lo Dico FC;11';GOAL;Gli Umili;Tommaso Verardo;
82cba383-0446-4817-8c63-422e96b8fc9e;Gli Umili - Lo Dico FC;22';CARTA;Gli Umili;Lorenzo Papiri;suspension
82cba383-0446-4817-8c63-422e96b8fc9e;Gli Umili - Lo Dico FC;29';CARTA;Gli Umili;Tommaso Verardo;penalty::success
82cba383-0446-4817-8c63-422e96b8fc9e;Gli Umili - Lo Dico FC;30';GOAL;Gli Umili;Lorenzo Papiri;
076bb526-00e1-428a-9ccf-cd8c4a7e5e17;FC Murta - Chainz;6';CARTA;FC Murta;Matteo Gallo;starplayer
076bb526-00e1-428a-9ccf-cd8c4a7e5e17;FC Murta - Chainz;8';GOAL;Chainz;Louis Dolcini;
076bb526-00e1-428a-9ccf-cd8c4a7e5e17;FC Murta - Chainz;12';GOAL;Chainz;Louis Dolcini;
076bb526-00e1-428a-9ccf-cd8c4a7e5e17;FC Murta - Chainz;19';GOAL;FC Murta;Matteo Gallo;
076bb526-00e1-428a-9ccf-cd8c4a7e5e17;FC Murta - Chainz;22';CARTA;FC Murta;Matteo Gallo;suspension
076bb526-00e1-428a-9ccf-cd8c4a7e5e17;FC Murta - Chainz;23';GOAL;Chainz;Francesco Tassone;
